EpochTime(s),TimeFromStart(s),right_prop_rate(rad/s),left_prop_rate(rad/s),LastDT(s),Yaw(rad),North(m),East(m),IMUSensedYawRate(rad/s),IMUIntegratedYaw(rad),IMUSensedTimeStamp(s),ARUCOSensedNorth(m),ARUCOSensedEast(m),ARUCOSensedYaw(rad),ArucoSensedTimeStamp(s),DepthTimeStamp(s),Depth(m),NavigationMode,APFEncounter,APFSide,APFDCPA(m),APFTCPA(s),APFForceX,APFForceY,NearestObstacleNorth(m),NearestObstacleEast(m),NearestObstacleDistance(m)
1782066368.4573028,2.209568500518799,-200.0,200.0,0.2,6.283185305606357,-5.385810402915891e-05,1.0000000006061216,2.291524858553393e-12,6.283185305606753,1782066368.3798277,-5.385810402915891e-05,1.0000000006061216,6.2831853056062945, 1782066367.865029, 1782066368.4193888,0.935348953364645,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1782066368.4668102,2.219075918197632,-200.0,200.0,0.2,6.283185305606373,0.030163804941873963,1.0000000005585823,2.291524858553393e-12,6.283185305607211,1782066368.4688125,None,None,None, None, 1782066368.4193888,0.935348953364645,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1782066368.5685701,2.320835828781128,-200.0,200.0,0.2,6.283185305607355,0.08491786569430577,1.0000000004724425,1.0919851563036733e-11,6.28318530560891,1782066368.5354164,None,None,None, None, 1782066368.541638,0.9769913212377431,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1782066368.6676137,2.41987943649292,-200.0,200.0,0.2,6.283185305583275,0.15123627588092262,1.0000000003681746,-2.050014727195785e-10,6.283185305582327,1782066368.66509,None,None,None, None, 1782066368.6093936,1.073338556050831,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1782066368.7673793,2.5196449756622314,-200.0,200.0,0.2,6.283185305547178,0.22040759575985583,1.0000000002577556,-3.975222654988286e-10,6.283185305560363,1782066368.7203414,None,None,None, None, 1782066368.7268474,1.0781454008333442,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1782066368.867481,2.619746685028076,-200.0,200.0,0.2,6.283185305596213,0.2900268106770679,1.0000000001441087,2.225340368645283e-10,6.283185305589092,1782066368.8494422,None,None,None, None, 1782066368.859971,1.0380795145893107,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1782066368.96746,2.7197256088256836,-200.0,200.0,0.2,6.283185305620362,0.05174651937113223,1.0000000006003307,6.248609986066862e-10,6.2831853056323625,1782066368.9186902,0.045149611077280355,1.000000000612467,6.28318530556941, 1782066368.867481, 1782066368.9267688,0.9088528966668161,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1782066369.0676327,2.8198983669281006,-200.0,200.0,0.2,6.2831853056968825,0.09752415203839218,1.000000000528953,1.1758351060644247e-09,6.283185305779385,1782066369.0437272,None,None,None, None, 1782066369.0591164,0.9076238514810622,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1782066369.168,2.9202656745910645,-200.0,200.0,0.2,6.2831853056761595,0.16048087709564074,1.0000000004356069,3.880668803906169e-10,6.283185305805976,1782066369.1122468,None,None,None, None, 1782066369.1263053,1.0335860949675015,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1782066369.2674253,3.019690990447998,-200.0,200.0,0.2,6.2831853055991,0.228994441312558,1.0000000003326017,-2.658593417406804e-10,6.283185305774582,1782066369.2303317,None,None,None, None, 1782066369.2508237,0.9266627653548544,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1782066369.3679957,3.1202614307403564,-200.0,200.0,0.2,6.283185305556767,0.29851937495955516,1.0000000002227185,-2.447840025914567e-10,6.283185305742844,1782066369.359989,None,None,None, None, 1782066369.3298788,0.994014672932477,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1782066369.467312,3.2195777893066406,-200.0,200.0,0.2,6.283185305578659,0.3681870509419738,1.0000000001096605,1.781191775903058e-10,6.283185305755402,1782066369.4304924,None,None,None, None, 1782066369.403458,1.0692954357586328,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1782066369.5672169,3.3194825649261475,-200.0,200.0,0.2,6.283185305656633,0.43787384824621595,0.999999999998097,7.591101036503276e-10,6.283185305854632,1782066369.5612106,None,None,None, None, 1782066369.5521407,1.0932737613166765,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1782066369.6671329,3.419398546218872,-200.0,200.0,0.2,6.283185305688045,0.5075631877265104,0.9999999998919633,6.19280588774877e-10,6.283185305891403,1782066369.6205885,None,None,None, None, 1782066369.6205885,0.907869018158147,track,none,0.0,nan,nan,0.0,0.0,5.354317535966268,0.9712432233284443,4.996596917685208
1782066369.7680688,3.520334482192993,-200.0,200.0,0.2,6.283185305654914,0.5772528648459658,0.9999999997880182,1.3904140036319862e-10,6.2831853059048735,1782066369.7174692,None,None,None, None, 1782066369.7436862,1.0263673351300342,track,none,0.0,nan,nan,0.0,0.0,5.4857191659699716,0.9713417394804637,4.926724957416927
1782066369.8674247,3.619690418243408,-200.0,200.0,0.2,6.283185305597681,0.646942586802923,0.9999999996817642,-2.185755107101092e-10,6.283185305890085,1782066369.7851276,None,None,None, None, 1782066369.8092084,1.025663120919917,track,none,0.0,nan,nan,0.0,0.0,5.54826369462614,0.9713491747053855,4.903254140564582
1782066369.9672108,3.7194764614105225,-200.0,200.0,0.2,6.283185305673869,0.2403934890506389,1.000000000255911,-1.289978514231005e-10,6.283185305870738,1782066369.9351058,0.23360903846505035,1.0000000002656608,6.283185305820765, 1782066369.872047, 1782066369.9351058,0.9453851176492346,track,none,0.0,nan,nan,0.0,0.0,5.5902889679027865,0.9714115202974268,4.875582689677617
1782066370.0674598,3.819725513458252,-200.0,200.0,0.2,6.283185305711703,0.28368667523696195,1.0000000001907237,4.178340898951891e-10,6.283185305912312,1782066370.0346038,None,None,None, None, 1782066370.0160768,1.014221689115959,track,none,0.0,nan,nan,0.0,0.0,5.34714434364241,0.9716159537553697,4.834586480136335
1782066370.1674967,3.919762372970581,-200.0,200.0,0.2,6.283185305772789,0.3455358094777108,1.0000000000999363,7.797914160344134e-10,6.283185306010857,1782066370.1609771,None,None,None, None, 1782066370.144775,1.072640219933256,track,none,0.0,nan,nan,0.0,0.0,5.302317023239576,0.9717625730217925,4.824184335087427
1782066370.2679894,4.020255088806152,-200.0,200.0,0.2,6.283185305763282,0.4138018604957517,1.0000000000038998,3.1146600757593524e-10,6.2831853060326885,1782066370.2310705,None,None,None, None, 1782066370.2245631,0.9144001395184285,track,none,0.0,nan,nan,0.0,0.0,5.311937722552859,0.971769205573377,4.800101328604546
1782066370.3681924,4.120458126068115,-200.0,200.0,0.2,6.2831853056676,0.48328992202041715,0.9999999999054835,-5.388386862702707e-10,6.283185305966906,1782066370.3531537,None,None,None, None, 1782066370.3471262,0.906960242551649,track,none,0.0,nan,nan,0.0,0.0,5.333326935176322,0.9717974623619394,4.775158546062928
