EpochTime(s),TimeFromStart(s),right_prop_rate(rad/s),left_prop_rate(rad/s),LastDT(s),Yaw(rad),North(m),East(m),IMUSensedYawRate(rad/s),IMUIntegratedYaw(rad),IMUSensedTimeStamp(s),ARUCOSensedNorth(m),ARUCOSensedEast(m),ARUCOSensedYaw(rad),ArucoSensedTimeStamp(s),DepthTimeStamp(s),Depth(m),NavigationMode,APFEncounter,APFSide,APFDCPA(m),APFTCPA(s),APFForceX,APFForceY,NearestObstacleNorth(m),NearestObstacleEast(m),NearestObstacleDistance(m),WebotsEnvironment,SwitchCombination,EKFPredictionEnabled,ClusterSizeAPFEnabled,ClassicAPFInfluenceDistance(m)
1782958069.2620664,2.8597569465637207,-200.0,200.0,0.2,0.0,0.0,1.0,None,0,0,None,None,None, None, None,None,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_overtaking_small_ship_0_8_m_s.wbt,ekf_on_cluster_off,1,0,5.0
1782958069.2818732,2.879563808441162,-200.0,200.0,0.2,0.0,0.03021766304590312,1.0,None,0,0,None,None,None, None, None,None,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_overtaking_small_ship_0_8_m_s.wbt,ekf_on_cluster_off,1,0,5.0
1782958069.3854837,2.9831743240356445,-200.0,200.0,0.2,0.0,0.08497172379833492,1.0,None,0,0,None,None,None, None, None,None,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_overtaking_small_ship_0_8_m_s.wbt,ekf_on_cluster_off,1,0,5.0
1782958069.4835544,3.081244945526123,-200.0,200.0,0.2,0.0,0.15129013398495178,1.0,None,0,0,None,None,None, None, None,None,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_overtaking_small_ship_0_8_m_s.wbt,ekf_on_cluster_off,1,0,5.0
1782958069.5953968,3.193087339401245,-200.0,200.0,0.2,0.0,0.220461453863885,1.0,None,0,0,None,None,None, None, None,None,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_overtaking_small_ship_0_8_m_s.wbt,ekf_on_cluster_off,1,0,5.0
1782958069.6833549,3.281045436859131,-200.0,200.0,0.2,0.0,0.29008066878109706,1.0,None,0,0,None,None,None, None, None,None,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_overtaking_small_ship_0_8_m_s.wbt,ekf_on_cluster_off,1,0,5.0
1782958069.7829633,3.3806538581848145,-200.0,200.0,0.2,0.0,0.35976100281860846,1.0,None,0,0,None,None,None, None, None,None,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_overtaking_small_ship_0_8_m_s.wbt,ekf_on_cluster_off,1,0,5.0
1782958069.8826761,3.4803667068481445,-200.0,200.0,0.2,0.0,0.42944948351786516,1.0,None,0,0,None,None,None, None, None,None,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_overtaking_small_ship_0_8_m_s.wbt,ekf_on_cluster_off,1,0,5.0
1782958069.9925663,3.590256929397583,-200.0,200.0,0.2,0.0,0.49913904658729547,1.0,None,0,0,None,None,None, None, None,None,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_overtaking_small_ship_0_8_m_s.wbt,ekf_on_cluster_off,1,0,5.0
1782958070.0825331,3.6802237033843994,-200.0,200.0,0.2,0.0,0.5688287533988987,1.0,None,0,0,None,None,None, None, None,None,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_overtaking_small_ship_0_8_m_s.wbt,ekf_on_cluster_off,1,0,5.0
1782958070.1874955,3.7851860523223877,-200.0,200.0,0.2,0.0,0.6385184792988192,1.0,None,0,0,None,None,None, None, None,None,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_overtaking_small_ship_0_8_m_s.wbt,ekf_on_cluster_off,1,0,5.0
1782958070.2841063,3.8817968368530273,-200.0,200.0,0.2,0.0,0.7082082077335635,1.0,None,0,0,None,None,None, None, None,None,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_overtaking_small_ship_0_8_m_s.wbt,ekf_on_cluster_off,1,0,5.0
