EpochTime(s),TimeFromStart(s),right_prop_rate(rad/s),left_prop_rate(rad/s),LastDT(s),Yaw(rad),North(m),East(m),IMUSensedYawRate(rad/s),IMUIntegratedYaw(rad),IMUSensedTimeStamp(s),ARUCOSensedNorth(m),ARUCOSensedEast(m),ARUCOSensedYaw(rad),ArucoSensedTimeStamp(s),DepthTimeStamp(s),Depth(m),NavigationMode,APFEncounter,APFSide,APFDCPA(m),APFTCPA(s),APFForceX,APFForceY,NearestObstacleNorth(m),NearestObstacleEast(m),NearestObstacleDistance(m),WebotsEnvironment,SwitchCombination,EKFPredictionEnabled,ClusterSizeAPFEnabled,ClassicAPFInfluenceDistance(m)
1782410163.77614,2.6568729877471924,-200.0,200.0,0.2,6.283185305624465,-4.7703452565220495e-05,1.0000000004862057,1.9981294249624378e-12,6.28318530562481,1782410163.720337,-4.7703452565220495e-05,1.0000000004862057,6.283185305624411, 1782410163.509132, 1782410163.7400165,1.040669444164536,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_cross_left_to_right_large_ship.wbt,ekf_on_cluster_off,1,0,5.0
1782410163.8011577,2.6818907260894775,-200.0,200.0,0.2,6.283185305624375,0.0301699595933379,1.0000000004392136,9.296745152475398e-13,6.283185305624882,1782410163.7981591,None,None,None, None, 1782410163.7400165,1.040669444164536,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_cross_left_to_right_large_ship.wbt,ekf_on_cluster_off,1,0,5.0
1782410163.9030564,2.7837893962860107,-200.0,200.0,0.2,6.283185305623796,0.08492402034576971,1.0000000003540594,-3.96640603366637e-12,6.28318530562456,1782410163.87936,None,None,None, None, 1782410163.8888683,0.9515032038042364,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_cross_left_to_right_large_ship.wbt,ekf_on_cluster_off,1,0,5.0
1782410164.0019002,2.8826332092285156,-200.0,200.0,0.2,6.2831853056310045,0.15124243053238656,1.000000000250882,6.198125069370995e-11,6.283185305629677,1782410163.9619107,None,None,None, None, 1782410163.9609044,0.9451689256645709,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_cross_left_to_right_large_ship.wbt,ekf_on_cluster_off,1,0,5.0
1782410164.1018698,2.982602834701538,-200.0,200.0,0.2,6.283185305622556,0.22041375041131978,1.0000000001437646,-4.846908574192331e-11,6.283185305625094,1782410164.0564568,None,None,None, None, 1782410164.0512943,1.0495374285649068,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_cross_left_to_right_large_ship.wbt,ekf_on_cluster_off,1,0,5.0
1782410164.2017155,3.0824484825134277,-200.0,200.0,0.2,6.283185305554154,0.29003296532853184,1.0000000000353653,-6.045561090577578e-10,6.2831853055390905,1782410164.198716,None,None,None, None, 1782410164.198716,1.0160394933637775,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_cross_left_to_right_large_ship.wbt,ekf_on_cluster_off,1,0,5.0
1782410164.302344,3.183077096939087,-200.0,200.0,0.2,6.283185305506714,0.35971329936604324,0.9999999999221046,-6.648356149438176e-10,6.2831853054951035,1782410164.2648787,None,None,None, None, 1782410164.2648787,1.0565291141006048,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_cross_left_to_right_large_ship.wbt,ekf_on_cluster_off,1,0,5.0
1782410164.4061592,3.2868921756744385,-200.0,200.0,0.2,6.283185305509717,0.42940178006529994,0.9999999998055247,-3.758942156571414e-10,6.283185305468234,1782410164.4081576,None,None,None, None, 1782410164.3363585,1.0245010287044993,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_cross_left_to_right_large_ship.wbt,ekf_on_cluster_off,1,0,5.0
1782410164.5015934,3.382326364517212,-200.0,200.0,0.2,6.283185305585936,0.49909134313473025,0.9999999996891522,3.030985407982358e-10,6.283185305513607,1782410164.4860537,None,None,None, None, 1782410164.495056,0.9368595917846539,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_cross_left_to_right_large_ship.wbt,ekf_on_cluster_off,1,0,5.0
1782410164.6016128,3.4823458194732666,-200.0,200.0,0.2,6.283185305552361,0.10779436800350045,1.0000000004042642,1.7948727061334887e-10,6.283185305530129,1782410164.5781038,0.10361881604905832,1.0000000004117475,6.283185305491528, 1782410164.511598, 1782410164.5831046,0.964370903963827,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_cross_left_to_right_large_ship.wbt,ekf_on_cluster_off,1,0,5.0
1782410164.7024095,3.5831425189971924,-200.0,200.0,0.2,6.283185305536493,0.151241239431052,1.0000000003335663,-1.6373642556259034e-10,6.283185305516847,1782410164.6592207,None,None,None, None, 1782410164.6787348,1.0582224076647349,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_cross_left_to_right_large_ship.wbt,ekf_on_cluster_off,1,0,5.0
1782410164.8113728,3.692105770111084,-200.0,200.0,0.2,6.283185305477763,0.21316111678107258,1.0000000002318261,-6.671498781793007e-10,6.2831853054691065,1782410164.7307801,None,None,None, None, 1782410164.7562423,1.0825363937950714,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_cross_left_to_right_large_ship.wbt,ekf_on_cluster_off,1,0,5.0
1782410164.902208,3.7829411029815674,-200.0,200.0,0.2,6.283185305486327,0.2814434331296459,1.0000000001156217,-2.1314918258697505e-10,6.283185305437366,1782410164.8796933,None,None,None, None, 1782410164.8940334,1.0273129137695522,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_cross_left_to_right_large_ship.wbt,ekf_on_cluster_off,1,0,5.0
1782410165.002742,3.8834750652313232,-200.0,200.0,0.2,6.283185305519888,0.3509339411085217,0.9999999999979563,6.763449492888182e-11,6.283185305442445,1782410164.9548004,None,None,None, None, 1782410164.963199,1.0901685083809431,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_cross_left_to_right_large_ship.wbt,ekf_on_cluster_off,1,0,5.0
1782410165.1019125,3.9826455116271973,-200.0,200.0,0.2,6.283185305565058,0.4205969675867163,0.9999999998823367,3.0709896842930134e-10,6.283185305481776,1782410165.0828743,None,None,None, None, 1782410165.0873864,1.0954157512172238,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_cross_left_to_right_large_ship.wbt,ekf_on_cluster_off,1,0,5.0
1782410165.2018151,4.082548141479492,-200.0,200.0,0.2,6.283185305558117,0.4902831460526069,0.9999999997698263,7.488148255970732e-12,6.283185305482285,1782410165.1508539,None,None,None, None, 1782410165.1593628,0.9525101000252935,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_cross_left_to_right_large_ship.wbt,ekf_on_cluster_off,1,0,5.0
1782410165.3016157,4.182348728179932,-200.0,200.0,0.2,6.283185305493147,0.5599724033297029,0.9999999996568273,-5.372557598316158e-10,6.283185305406138,1782410165.2925878,None,None,None, None, 1782410165.248966,1.0828079645565598,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_cross_left_to_right_large_ship.wbt,ekf_on_cluster_off,1,0,5.0
1782410165.4013965,4.282129526138306,-200.0,200.0,0.2,6.283185305444586,0.6296620695325971,0.9999999995392999,-6.260000355059484e-10,6.283185305360873,1782410165.3648963,None,None,None, None, 1782410165.3680305,0.9818345685712879,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_cross_left_to_right_large_ship.wbt,ekf_on_cluster_off,1,0,5.0
1782410165.5019348,4.382667779922485,-200.0,200.0,0.2,6.283185305483399,0.6993517900398888,0.9999999994183881,-1.5528724200108565e-11,6.283185305358861,1782410165.4944324,None,None,None, None, 1782410165.5029395,0.9016045765149453,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_cross_left_to_right_large_ship.wbt,ekf_on_cluster_off,1,0,5.0
1782410165.6022763,4.483009338378906,-200.0,200.0,0.2,6.28318530544217,0.3033299801287735,1.000000000112386,2.441576148186079e-10,6.283185305380305,1782410165.5822587,0.29704784048293437,1.0000000001233422,6.283185305308189, 1782410165.51294, 1782410165.5967734,1.0463393622270694,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_cross_left_to_right_large_ship.wbt,ekf_on_cluster_off,1,0,5.0
1782410165.7017336,4.5824666023254395,-200.0,200.0,0.2,6.28318530546276,0.34770667444718356,1.0000000000352853,2.2618382146468093e-10,6.283185305397593,1782410165.6586933,None,None,None, None, 1782410165.6596923,0.9425046436591595,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_cross_left_to_right_large_ship.wbt,ekf_on_cluster_off,1,0,5.0
1782410165.802294,4.683027029037476,-200.0,200.0,0.2,6.283185305428623,0.4100482917341998,0.9999999999282556,-2.598474980022326e-10,6.283185305361589,1782410165.7972512,None,None,None, None, 1782410165.7972512,0.9708764892410559,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_cross_left_to_right_large_ship.wbt,ekf_on_cluster_off,1,0,5.0
