EpochTime(s),TimeFromStart(s),right_prop_rate(rad/s),left_prop_rate(rad/s),LastDT(s),Yaw(rad),North(m),East(m),IMUSensedYawRate(rad/s),IMUIntegratedYaw(rad),IMUSensedTimeStamp(s),ARUCOSensedNorth(m),ARUCOSensedEast(m),ARUCOSensedYaw(rad),ArucoSensedTimeStamp(s),DepthTimeStamp(s),Depth(m),NavigationMode,APFEncounter,APFSide,APFDCPA(m),APFTCPA(s),APFForceX,APFForceY,NearestObstacleNorth(m),NearestObstacleEast(m),NearestObstacleDistance(m)
1781912413.0466878,2.575871229171753,-200.0,200.0,0.2,6.283185305601264,-4.9561274688288576e-05,1.0000000005518912,3.3820888101552115e-12,6.283185305601849,1781912413.041694,-4.9561274688288576e-05,1.0000000005518912,6.283185305601172, 1781912412.322508, 1781912412.9339328,0.9445971374639522,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781912413.0701535,2.599336862564087,-200.0,200.0,0.2,6.283185305601288,0.03016810177121483,1.000000000504198,3.3820888101552115e-12,6.283185305602526,1781912413.041694,None,None,None, None, 1781912413.0636296,1.0714148199196991,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781912413.1705081,2.6996915340423584,-200.0,200.0,0.2,6.2831853056007185,0.08492216252364665,1.0000000004177798,-2.0484558523959835e-12,6.283185305602332,1781912413.1364,None,None,None, None, 1781912413.145935,0.9687697271389006,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781912413.2716694,2.8008527755737305,-200.0,200.0,0.2,6.283185305605005,0.15124057271026348,1.0000000003130718,3.8149802310461105e-11,6.2831853056058335,1781912413.228185,None,None,None, None, 1781912413.2372968,1.0316972127744846,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781912413.3742986,2.903481960296631,-200.0,200.0,0.2,6.28318530559042,0.02892529143018746,1.0000000004240863,-1.5761740987639338e-10,6.283185305591024,1781912413.322143,0.019661181564971326,1.0000000004347265,6.283185305596144, 1781912413.323653, 1781912413.322143,1.075171398257297,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781912413.476632,3.0058155059814453,-200.0,200.0,0.2,6.283185305550489,0.07946832992949779,1.000000000343765,-5.372407613551619e-10,6.283185305541835,1781912413.413701,None,None,None, None, 1781912413.4465833,0.9957545891641841,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781912413.5809004,3.110083818435669,-200.0,200.0,0.2,6.283185305532012,0.14433456265629246,1.0000000002380915,-4.397090411482262e-10,6.283185305494116,1781912413.5222263,None,None,None, None, 1781912413.5708387,1.0725025853585035,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781912413.6786947,3.2078781127929688,-200.0,200.0,0.2,6.283185305549329,0.21323899887868475,1.0000000001245664,-1.4327282673571098e-10,6.2831853054785345,1781912413.630979,None,None,None, None, 1781912413.6809776,0.9301467806460497,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781912413.771172,3.3003554344177246,-200.0,200.0,0.2,6.283185305647279,0.2828206083238858,1.0000000000111304,6.834023283921396e-10,6.283185305533655,1781912413.7116354,None,None,None, None, 1781912413.7716784,1.040922029118136,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781912413.8744626,3.4036459922790527,-200.0,200.0,0.2,6.283185305703039,0.35249590677072506,0.9999999999043664,6.627281899422549e-10,6.283185305591573,1781912413.8935916,None,None,None, None, 1781912413.8754632,1.0993181201985964,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781912413.971379,3.5005624294281006,-200.0,200.0,0.2,6.283185305666388,0.42218371802549093,0.999999999801469,2.4834033132376322e-11,6.283185305593921,1781912413.9891338,None,None,None, None, 1781912413.9877434,0.9193076799590765,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781912414.076417,3.605600357055664,-200.0,200.0,0.2,6.283185305584901,0.4918731921832847,0.999999999696015,-5.257087882657932e-10,6.283185305543694,1781912414.1168785,None,None,None, None, 1781912414.0839489,1.0917413396603064,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781912414.1712055,3.7003889083862305,-200.0,200.0,0.2,6.283185305534873,0.5615628871876917,0.999999999584882,-5.500143167315588e-10,6.283185305473433,1781912414.1168785,None,None,None, None, 1781912414.1732855,0.9074407100434043,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781912414.2766483,3.8058316707611084,-200.0,200.0,0.2,6.283185305609982,0.631252611519679,0.9999999994702623,3.828626707944469e-10,6.283185305531628,1781912414.2688792,None,None,None, None, 1781912414.2533715,1.0739249163581326,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781912414.3709645,3.9001479148864746,-200.0,200.0,0.2,6.283185305553749,0.21176843959063013,1.0000000001867582,3.308624886226506e-10,6.283185305558213,1781912414.3492298,0.20501687648450057,1.000000000198157,6.283185305412357, 1781912414.330554, 1781912414.3325531,0.9195038892127856,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781912414.470318,3.9995014667510986,-200.0,200.0,0.2,6.283185305529223,0.2543419107437575,1.0000000001175406,-1.4593671957848627e-10,6.28318530554186,1781912414.4612849,None,None,None, None, 1781912414.4542856,1.0651869384287598,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781912414.5706775,4.099860906600952,-200.0,200.0,0.2,6.283185305457611,0.31585584067455263,1.0000000000160203,-7.117910094080537e-10,6.2831853054775815,1781912414.55159,None,None,None, None, 1781912414.5445814,0.908678213249605,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781912414.6709938,4.200177192687988,-200.0,200.0,0.2,6.283185305438615,0.384043974515348,0.999999999898602,-4.622157195041489e-10,6.283185305431671,1781912414.6509168,None,None,None, None, 1781912414.6408906,1.0624338851695923,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781912414.7704175,4.299600839614868,-200.0,200.0,0.2,6.283185305483483,0.4535202709261512,0.9999999997776458,7.472669058503194e-11,6.283185305438582,1781912414.743398,None,None,None, None, 1781912414.7444043,0.9381057430205305,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781912414.870545,4.399728298187256,-200.0,200.0,0.2,6.283185305535984,0.5231813737002555,0.9999999996594934,3.237571054895266e-10,6.2831853054719495,1781912414.8464622,None,None,None, None, 1781912414.8519776,1.0948921399813896,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781912414.9706793,4.4998626708984375,-200.0,200.0,0.2,6.283185305545916,0.5928672960468672,0.9999999995449574,1.400705797237734e-10,6.283185305485855,1781912414.945739,None,None,None, None, 1781912414.9648113,0.9945216837865336,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781912415.0712936,4.600476980209351,-200.0,200.0,0.2,6.283185305524847,0.6625565193010446,0.9999999994311082,-1.0269238920170674e-10,6.283185305474661,1781912415.0547435,None,None,None, None, 1781912415.052226,0.9224649200522668,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781912415.1714742,4.700657606124878,-200.0,200.0,0.2,6.283185305377902,0.7322461809856804,0.99999999931579,-1.2956374757014476e-09,6.283185305215533,1781912415.1714742,None,None,None, None, 1781912415.1739917,0.9602360512842745,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781912415.2813823,4.810565710067749,-200.0,200.0,0.2,6.283185305290344,0.8019359008929693,0.9999999991902311,-1.2956374757014476e-09,6.2831853049564055,1781912415.29444,None,None,None, None, 1781912415.29544,1.044103241889893,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781912415.37041,4.899593353271484,-200.0,200.0,0.2,6.2831853053257785,0.40006022569365857,0.9999999999245834,-1.1494941257133312e-10,6.283185304942271,1781912415.29444,0.3938474124892004,0.9999999999359931,6.283185305251383, 1781912415.335563, 1781912415.3992343,1.0736597317739585,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781912415.4707725,4.999955892562866,-200.0,200.0,0.2,6.283185305377942,0.4440015706478502,0.9999999998431246,1.0340782206218276e-10,6.283185304956096,1781912415.428136,None,None,None, None, 1781912415.3992343,1.0736597317739585,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781912415.5758858,5.105069160461426,-200.0,200.0,0.2,6.283185305426119,0.5061470658263617,0.9999999997311605,2.686496321145412e-10,6.283185304983708,1781912415.5309143,None,None,None, None, 1781912415.5274034,1.0662008270938876,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781912415.6751971,5.204380512237549,-200.0,200.0,0.2,6.283185305427237,0.5744808404414297,0.9999999996113395,5.987246866338345e-12,6.283185304984421,1781912415.6501062,None,None,None, None, 1781912415.6357915,0.9835455708830656,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781912415.7726402,5.301823616027832,-200.0,200.0,0.2,6.283185305382628,0.6439790665304306,0.9999999994895543,-4.0831463921379057e-10,6.283185304948127,1781912415.7389953,None,None,None, None, 1781912415.7244046,0.9181880785202098,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781912415.8736877,5.402871131896973,-200.0,200.0,0.2,6.28318530536205,0.7136431366931674,0.9999999993643709,-3.505650073930847e-10,6.283185304915522,1781912415.8320026,None,None,None, None, 1781912415.8300028,1.0677739028090958,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
1781912415.9712014,5.50038480758667,-200.0,200.0,0.2,6.283185305389558,0.7833294540944927,0.9999999992377134,1.4967602747507322e-11,6.283185304916854,1781912415.9210417,None,None,None, None, 1781912415.9100137,0.9781452148915044,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan
