EpochTime(s),TimeFromStart(s),right_prop_rate(rad/s),left_prop_rate(rad/s),LastDT(s),Yaw(rad),North(m),East(m),IMUSensedYawRate(rad/s),IMUIntegratedYaw(rad),IMUSensedTimeStamp(s),ARUCOSensedNorth(m),ARUCOSensedEast(m),ARUCOSensedYaw(rad),ArucoSensedTimeStamp(s),DepthTimeStamp(s),Depth(m),NavigationMode,APFEncounter,APFSide,APFDCPA(m),APFTCPA(s),APFForceX,APFForceY,NearestObstacleNorth(m),NearestObstacleEast(m),NearestObstacleDistance(m),WebotsEnvironment,SwitchCombination,EKFPredictionEnabled,ClusterSizeAPFEnabled,ClassicAPFInfluenceDistance(m)
1782930672.3911505,3.2872474193573,-200.0,200.0,0.2,6.283185305572319,-5.538253366440293e-05,1.0000000005147645,3.006729640297999e-12,6.283185305572839,1782930672.321123,-5.538253366440293e-05,1.0000000005147645,6.283185305572237, 1782930671.949426, 1782930672.293956,1.07774285292268,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_head_on_small_ship.wbt,ekf_off_cluster_on,0,1,5.0
1782930672.4384093,3.3345062732696533,-200.0,200.0,0.2,6.28318530557234,0.030162280512238716,1.0000000004661966,3.006729640297999e-12,6.28318530557344,1782930672.321123,None,None,None, None, 1782930672.4223225,1.0476417885511358,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_head_on_small_ship.wbt,ekf_off_cluster_on,0,1,5.0
1782930672.5431876,3.439284563064575,-200.0,200.0,0.2,6.2831853055718305,0.08491634126467053,1.0000000003781935,-1.856491777291708e-12,6.283185305573209,1782930672.5457284,None,None,None, None, 1782930672.4938776,0.9016348668324321,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_head_on_small_ship.wbt,ekf_off_cluster_on,0,1,5.0
1782930672.6422577,3.5383546352386475,-200.0,200.0,0.2,6.283185305571168,0.15123475145128737,1.0000000002715697,-5.276279609455194e-12,6.28318530557268,1782930672.5457284,None,None,None, None, 1782930672.599993,0.9412263809606461,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_head_on_small_ship.wbt,ekf_off_cluster_on,0,1,5.0
1782930672.7645066,3.6606035232543945,-200.0,200.0,0.2,6.283185305570874,0.22040607133022058,1.0000000001603133,-4.495652459138591e-12,6.283185305572178,1782930672.7680328,None,None,None, None, 1782930672.7584739,0.9799241184777415,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_head_on_small_ship.wbt,ekf_off_cluster_on,0,1,5.0
1782930672.8482962,3.7443931102752686,-200.0,200.0,0.2,6.283185305570566,0.2900252862474326,1.000000000048316,-5.554607800887546e-12,6.283185305571563,1782930672.7680328,None,None,None, None, 1782930672.8508098,1.0729868875733697,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_head_on_small_ship.wbt,ekf_off_cluster_on,0,1,5.0
1782930672.9421194,3.8382163047790527,-200.0,200.0,0.2,6.283185305577659,0.359705620284944,0.9999999999361989,5.838207434913043e-11,6.283185305579193,1782930672.898714,None,None,None, None, 1782930672.8508098,1.0729868875733697,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_head_on_small_ship.wbt,ekf_off_cluster_on,0,1,5.0
1782930673.0467443,3.9428412914276123,-200.0,200.0,0.2,6.2831853054781135,0.029455954043417887,1.000000000353178,-1.7449474257376175e-09,6.283185305375094,1782930673.0156796,0.023248519916253287,1.0000000003613825,6.283185305581195, 1782930672.964847, 1782930672.9683998,0.999823052516181,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_head_on_small_ship.wbt,ekf_off_cluster_on,0,1,5.0
1782930673.140084,4.0361809730529785,-200.0,200.0,0.2,6.28318530546099,0.06924584453123452,1.0000000002854765,-9.028033304202549e-10,6.283185305295416,1782930673.1039352,None,None,None, None, 1782930673.0552971,0.9330846335926483,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_head_on_small_ship.wbt,ekf_off_cluster_on,0,1,5.0
1782930673.2405486,4.136645555496216,-200.0,200.0,0.2,6.283185305448229,0.12940265905914916,1.0000000001820912,-8.686712908866152e-10,6.283185305186351,1782930673.2294884,None,None,None, None, 1782930673.1749883,0.9126411750857576,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_head_on_small_ship.wbt,ekf_off_cluster_on,0,1,5.0
1782930673.3388717,4.234968662261963,-200.0,200.0,0.2,6.283185305435309,0.19726104605424377,1.000000000064604,-8.686712908866152e-10,6.283185305012617,1782930673.3439324,None,None,None, None, 1782930673.2855535,1.0631684004713622,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_head_on_small_ship.wbt,ekf_off_cluster_on,0,1,5.0
1782930673.4409034,4.337000370025635,-200.0,200.0,0.2,6.283185305500823,0.266686715913856,0.9999999999435064,-1.4000657226303356e-10,6.283185304996595,1782930673.4409034,None,None,None, None, 1782930673.376381,0.9718363442827143,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_head_on_small_ship.wbt,ekf_off_cluster_on,0,1,5.0
1782930673.5389962,4.43509316444397,-200.0,200.0,0.2,6.283185305558563,0.3363409453609401,0.9999999998265735,6.815270682682701e-11,6.283185305003204,1782930673.4409034,None,None,None, None, 1782930673.508323,0.9802668810805569,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_head_on_small_ship.wbt,ekf_off_cluster_on,0,1,5.0
1782930673.6400735,4.536170482635498,-200.0,200.0,0.2,6.283185305592029,0.4060259522261739,0.9999999997136124,8.442414780874408e-11,6.283185305015563,1782930673.587295,None,None,None, None, 1782930673.607869,1.023983941614051,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_head_on_small_ship.wbt,ekf_off_cluster_on,0,1,5.0
1782930673.739173,4.6352698802948,-200.0,200.0,0.2,6.2831853056105835,0.47571505386101215,0.9999999996029769,8.442414780874408e-11,6.283185305032448,1782930673.587295,None,None,None, None, 1782930673.607869,1.023983941614051,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_head_on_small_ship.wbt,ekf_off_cluster_on,0,1,5.0
1782930673.8388848,4.7349817752838135,-200.0,200.0,0.2,6.2831853056105835,0.5454046993944288,0.9999999994936336,8.442414780874408e-11,6.283185305032448,1782930673.587295,None,None,None, None, 1782930673.607869,1.023983941614051,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_head_on_small_ship.wbt,ekf_off_cluster_on,0,1,5.0
1782930673.9393818,4.835478782653809,-200.0,200.0,0.2,6.2831853056105835,0.6150944171569118,0.9999999993842902,8.442414780874408e-11,6.283185305032448,1782930673.587295,None,None,None, None, 1782930673.607869,1.023983941614051,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_head_on_small_ship.wbt,ekf_off_cluster_on,0,1,5.0
1782930674.0395005,4.9355974197387695,-200.0,200.0,0.2,6.2831853056105835,0.6847841445110496,0.9999999992749468,8.442414780874408e-11,6.283185305032448,1782930673.587295,None,None,None, None, 1782930673.607869,1.023983941614051,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_head_on_small_ship.wbt,ekf_off_cluster_on,0,1,5.0
1782930674.140249,5.036345958709717,-200.0,200.0,0.2,6.2831853056105835,0.7544738731389059,0.9999999991656033,8.442414780874408e-11,6.283185305032448,1782930673.587295,None,None,None, None, 1782930673.607869,1.023983941614051,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_head_on_small_ship.wbt,ekf_off_cluster_on,0,1,5.0
1782930674.238856,5.134953022003174,-200.0,200.0,0.2,6.2831853056105835,0.8241636019359048,0.9999999990562599,8.442414780874408e-11,6.283185305032448,1782930673.587295,None,None,None, None, 1782930673.607869,1.023983941614051,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_head_on_small_ship.wbt,ekf_off_cluster_on,0,1,5.0
