EpochTime(s),TimeFromStart(s),right_prop_rate(rad/s),left_prop_rate(rad/s),LastDT(s),Yaw(rad),North(m),East(m),IMUSensedYawRate(rad/s),IMUIntegratedYaw(rad),IMUSensedTimeStamp(s),ARUCOSensedNorth(m),ARUCOSensedEast(m),ARUCOSensedYaw(rad),ArucoSensedTimeStamp(s),DepthTimeStamp(s),Depth(m),NavigationMode,APFEncounter,APFSide,APFDCPA(m),APFTCPA(s),APFForceX,APFForceY,NearestObstacleNorth(m),NearestObstacleEast(m),NearestObstacleDistance(m),WebotsEnvironment,SwitchCombination,EKFPredictionEnabled,ClusterSizeAPFEnabled,ClassicAPFInfluenceDistance(m)
1782955141.1782632,2.51377272605896,200.0,200.0,0.2,6.2831853055697495,-4.768649255883295e-05,1.0000000006056784,6.126933842654628e-12,6.283185305570809,1782955141.1972678,-4.768649255883295e-05,1.0000000006056784,6.283185305569583, 1782955140.610895, 1782955141.1000478,1.0901590890305806,apf_colreg,overtaking,-1.0,1.2000003834616189,inf,16.12742298204008,6.4659068184397785,1.1999833192481997,0.9936004817286437,1.2000143227143274,mr_webots_overtaking_large_ship_0_8_m_s.wbt,ekf_on_cluster_on,1,1,5.0
1782955141.2172928,2.552802324295044,200.0,200.0,0.2,6.27464240854139,0.007489826852931748,0.9999374439020439,-2.873657499504875e-12,6.28318530557048,1782955141.1972678,None,None,None, None, 1782955141.209781,0.9866737169947088,apf_colreg,overtaking,-1.0,0.01665005070967874,31.833790178332478,16.068622902834022,6.603902563590759,1.1999833192481997,0.9936004817286437,1.2000143227143274,mr_webots_overtaking_large_ship_0_8_m_s.wbt,ekf_on_cluster_on,1,1,5.0
1782955141.3185127,2.654022216796875,200.0,200.0,0.2,6.266893708727164,0.022208421707395152,0.9996400592002396,0.02353204666117365,0.002287855585706211,1782955141.2944908,None,None,None, None, 1782955141.3115125,0.9268550802415564,apf_colreg,overtaking,-1.0,0.11279012882791908,17.93241631041302,16.014157595195222,6.7308673355079955,1.2142564916074545,0.9826777963398006,1.2064603932894016,mr_webots_overtaking_large_ship_0_8_m_s.wbt,ekf_on_cluster_on,1,1,5.0
1782955141.418189,2.7536985874176025,200.0,200.0,0.2,6.271664371282113,0.04310928813385616,0.9990272086914702,0.13962652623538577,0.014413011161051552,1782955141.3813307,None,None,None, None, 1782955141.4246237,1.0618640909577655,apf_colreg,overtaking,-1.0,0.2609756256398047,17.487872045766256,16.036513082962728,6.560848019294535,1.274391934369371,0.9641737218306105,1.2507747383202095,mr_webots_overtaking_large_ship_0_8_m_s.wbt,ekf_on_cluster_on,1,1,5.0
1782955141.538993,2.874502420425415,200.0,200.0,0.2,6.273353765782905,0.06883153714471799,0.9984927032403272,0.08375635340136191,0.02271481285892762,1782955141.4804492,None,None,None, None, 1782955141.538993,1.057997121406849,apf_colreg,overtaking,-1.0,1.0137022950954389,28.342681830774684,16.036560521932604,6.542877181372798,1.413839063648127,0.9458745017839799,1.3681625003746838,mr_webots_overtaking_large_ship_0_8_m_s.wbt,ekf_on_cluster_on,1,1,5.0
1782955141.617764,2.9532735347747803,200.0,200.0,0.2,6.296594282262445,0.011035079162951461,1.0000037311263659,0.08284613995861703,0.03031570143261594,1782955141.5721962,0.008332024096365485,1.0000684746706863,0.03670024013812512, 1782955141.615738, 1782955141.538993,1.057997121406849,apf_colreg,overtaking,-1.0,1.368172894583794,0.0,16.19644572485648,6.159193873534567,1.413839063648127,0.9458745017839799,1.3681625003746838,mr_webots_overtaking_large_ship_0_8_m_s.wbt,ekf_on_cluster_on,1,1,5.0
1782955141.718378,3.0538876056671143,200.0,200.0,0.2,6.287465915516011,0.029654285492778577,1.000065991488553,0.032923400920265515,0.0335963347050766,1782955141.6718407,None,None,None, None, 1782955141.6718407,0.9763519222458426,apf_colreg,overtaking,-1.0,1.4343693072348453,0.0,16.12801545764267,6.317706205358594,1.447716171472975,0.9637098762800791,1.4343180403631048,mr_webots_overtaking_large_ship_0_8_m_s.wbt,ekf_on_cluster_on,1,1,5.0
1782955141.8250022,3.1605117321014404,200.0,200.0,0.2,6.282371180515271,0.053652835789511646,0.999872792064445,0.08081371805895647,0.04508426842975746,1782955141.813994,None,None,None, None, 1782955141.7869866,0.9472383341376114,apf_colreg,overtaking,-1.0,1.4343693072348453,0.0,16.09226217310081,6.401422613815284,1.447716171472975,0.9637098762800791,1.4343180403631048,mr_webots_overtaking_large_ship_0_8_m_s.wbt,ekf_on_cluster_on,1,1,5.0
1782955141.9186354,3.2541449069976807,200.0,200.0,0.2,6.279549703954455,0.08160318960741647,0.9995258613475189,0.08081371805895647,0.061247012041548754,1782955141.813994,None,None,None, None, 1782955141.9041295,1.0177331764658615,apf_colreg,overtaking,-1.0,1.5926894543053394,0.0,16.068970996517642,6.458740094469933,1.6500759461281647,0.8730599170929677,1.5925847724491933,mr_webots_overtaking_large_ship_0_8_m_s.wbt,ekf_on_cluster_on,1,1,5.0
1782955142.0276291,3.3631386756896973,200.0,200.0,0.2,6.272910498906818,0.11222778576804382,0.9990712986693866,0.034136109715502475,0.06700084101863242,1782955141.9825494,None,None,None, None, 1782955142.031629,0.9563654032591967,apf_colreg,overtaking,-1.0,1.5926894543053394,0.0,16.022675414983127,6.569020848089399,1.6500759461281647,0.8730599170929677,1.5925847724491933,mr_webots_overtaking_large_ship_0_8_m_s.wbt,ekf_on_cluster_on,1,1,5.0
1782955142.1322188,3.46772837638855,200.0,200.0,0.2,6.298195570631031,0.14454583072062718,0.9983225673538563,0.3337710045068015,0.0930547374361417,1782955142.0606086,None,None,None, None, 1782955142.1352248,1.0818331075315022,apf_colreg,overtaking,-1.0,1.7189045168511954,0.0,16.187289188136198,6.170973054793179,1.8301024531009182,0.7868259415180547,1.7187152222651592,mr_webots_overtaking_large_ship_0_8_m_s.wbt,ekf_on_cluster_on,1,1,5.0
