EpochTime(s),TimeFromStart(s),right_prop_rate(rad/s),left_prop_rate(rad/s),LastDT(s),Yaw(rad),North(m),East(m),IMUSensedYawRate(rad/s),IMUIntegratedYaw(rad),IMUSensedTimeStamp(s),ARUCOSensedNorth(m),ARUCOSensedEast(m),ARUCOSensedYaw(rad),ArucoSensedTimeStamp(s),DepthTimeStamp(s),Depth(m),NavigationMode,APFEncounter,APFSide,APFDCPA(m),APFTCPA(s),APFForceX,APFForceY,NearestObstacleNorth(m),NearestObstacleEast(m),NearestObstacleDistance(m),WebotsEnvironment,SwitchCombination,EKFPredictionEnabled,ClusterSizeAPFEnabled,ClassicAPFInfluenceDistance(m)
1782925083.3703756,2.3356902599334717,-200.0,-200.0,0.2,6.283185305574237,-4.116321319449342e-05,1.000000000356738,2.1620781665425325e-11,6.283185305577974,1782925083.352857,-4.116321319449342e-05,1.000000000356738,6.2831853055736495, 1782925082.805857, 1782925083.3233342,1.0168542125714626,apf_colreg,static_obstacle,1.0,nan,nan,14.66821398526337,-7.420625176085537,2.162383744327826,-1.8926136829646671,3.400886806796575,mr_webots_cross_port_starboard_small_ships.wbt,ekf_off_cluster_off,0,0,5.0
1782925083.3999283,2.3652429580688477,-200.0,-200.0,0.2,0.008542895427477784,0.007496350132497004,1.0000625570361574,2.1620781665425325e-11,6.283185305582299,1782925083.352857,None,None,None, None, 1782925083.3233342,1.0168542125714626,apf_colreg,static_obstacle,1.0,nan,nan,14.605209974208126,-7.545267902699976,2.162330002532804,-1.8925984292165994,3.4008000440221084,mr_webots_cross_port_starboard_small_ships.wbt,ekf_off_cluster_off,0,0,5.0
1782925083.5010216,2.466336250305176,-200.0,-200.0,0.2,0.01690985198361738,0.022214944987914223,1.0003599416907343,-0.017967816467945815,6.281800825877157,1782925083.4299104,None,None,None, None, 1782925083.4965029,1.0407787798451067,apf_colreg,static_obstacle,1.0,nan,nan,14.541395891734858,-7.668800871127953,2.209575513748006,-1.8356184224796197,3.399127524613231,mr_webots_cross_port_starboard_small_ships.wbt,ekf_off_cluster_off,0,0,5.0
1782925083.6008313,2.566145896911621,-200.0,-200.0,0.2,0.02515815199941976,0.04311514982873206,1.000990867813398,-0.027471936727548548,6.277545257099493,1782925083.5848165,None,None,None, None, 1782925083.601839,0.9847909046105007,apf_colreg,static_obstacle,1.0,nan,nan,14.477167331725617,-7.792059167522652,2.2718427399605075,-1.8012959135161568,3.3925964977167506,mr_webots_cross_port_starboard_small_ships.wbt,ekf_off_cluster_off,0,0,5.0
1782925083.7067537,2.6720683574676514,-200.0,-200.0,0.2,0.026915351586008968,0.0688203272923035,1.0019995904159882,-0.08952081127346567,6.269157931525063,1782925083.6785078,None,None,None, None, 1782925083.6936655,0.9157472783927317,apf_colreg,static_obstacle,1.0,nan,nan,14.46270428920112,-7.823171564598277,2.3775412695884133,-1.7167481847581396,3.3642636144804583,mr_webots_cross_port_starboard_small_ships.wbt,ekf_off_cluster_off,0,0,5.0
1782925083.8004487,2.765763282775879,-200.0,-200.0,0.2,0.026525760229001563,0.097942627425369,1.003135754949315,-0.09384554429651762,6.260720454783915,1782925083.768416,None,None,None, None, 1782925083.7829385,1.0811465821713804,apf_colreg,static_obstacle,1.0,nan,nan,14.464981021627235,-7.824009646759929,2.3775412695884133,-1.7167481847581396,3.3642636144804583,mr_webots_cross_port_starboard_small_ships.wbt,ekf_off_cluster_off,0,0,5.0
1782925083.90099,2.866304636001587,-200.0,-200.0,0.2,-0.006804010417443728,0.011766181134236373,1.0000097748251346,-0.0982450647200618,6.252398290836208,1782925083.8531241,0.009248077465801403,0.9999176418035478,6.243869840692765, 1782925083.813466, 1782925083.8744583,1.0412613828886879,apf_colreg,static_obstacle,1.0,nan,nan,14.719284685801181,-7.319824006450559,2.428600205980284,-1.712051021163327,3.3799234385343917,mr_webots_cross_port_starboard_small_ships.wbt,ekf_off_cluster_off,0,0,5.0
1782925084.0006564,2.965970993041992,-200.0,-200.0,0.2,-0.002278316255669455,0.029945308577511986,1.0000685465597612,-0.08941896562106014,6.245879110181381,1782925084.005663,None,None,None, None, 1782925083.9570775,1.0826334359198513,apf_colreg,static_obstacle,1.0,nan,nan,14.68590778895581,-7.386585187575766,2.311977388001546,-1.7066605761517608,3.3653026964920074,mr_webots_cross_port_starboard_small_ships.wbt,ekf_off_cluster_off,0,0,5.0
1782925084.1008377,3.066152334213257,-200.0,-200.0,0.2,-4.372390482452332e-05,0.05360494419814109,1.000252019148171,-0.08620516734080408,6.232526087803974,1782925084.0809283,None,None,None, None, 1782925084.0337045,0.9842851690191677,apf_colreg,static_obstacle,1.0,nan,nan,14.669198514247462,-7.4204640213110125,2.364816353637881,-1.6935679222883218,3.336090903837335,mr_webots_cross_port_starboard_small_ships.wbt,ekf_off_cluster_off,0,0,5.0
1782925084.2004256,3.1657402515411377,-200.0,-200.0,0.2,0.0031873028479958293,0.08131814528950786,1.0005322731467279,-0.06367577215627843,6.227171638022454,1782925084.1650176,None,None,None, None, 1782925084.1822827,0.97357706855373,apf_colreg,static_obstacle,1.0,nan,nan,14.644970697155753,-7.469356619418808,2.416690727405089,-1.6485143016073405,3.3302171137821612,mr_webots_cross_port_starboard_small_ships.wbt,ekf_off_cluster_off,0,0,5.0
1782925084.3006644,3.265979051589966,-200.0,-200.0,0.2,0.0034487765716057356,0.11178758788037761,1.0009686281051768,-0.09279280788069656,6.22039555494194,1782925084.303673,None,None,None, None, 1782925084.2710707,0.9154382989782665,apf_colreg,static_obstacle,1.0,nan,nan,14.642762412739577,-7.475510655536404,2.501783129895933,-1.5370401245975192,3.3209729967279515,mr_webots_cross_port_starboard_small_ships.wbt,ekf_off_cluster_off,0,0,5.0
1782925084.4010718,3.3663864135742188,-200.0,-200.0,0.2,0.004129694807853631,0.1440170216267579,1.0014173606505015,-0.07897434759884864,6.209409482957064,1782925084.3771508,None,None,None, None, 1782925084.343477,0.9240957636717014,apf_colreg,static_obstacle,1.0,nan,nan,14.637352849806625,-7.488136633002225,2.551031886924895,-1.5553713548344115,3.320175305464676,mr_webots_cross_port_starboard_small_ships.wbt,ekf_off_cluster_off,0,0,5.0
1782925084.500339,3.465653657913208,-200.0,-200.0,0.2,-0.004073080411775606,0.177319162325777,1.0019106442969203,-0.15776739820003985,6.197797455431559,1782925084.450753,None,None,None, None, 1782925084.4823034,1.0882491657510274,apf_colreg,static_obstacle,1.0,nan,nan,14.698059285629558,-7.37057996880818,2.605719052536361,-1.512960749752328,3.3167837180933466,mr_webots_cross_port_starboard_small_ships.wbt,ekf_off_cluster_off,0,0,5.0
1782925084.6005259,3.565840482711792,-200.0,-200.0,0.2,-0.007779681656878297,0.211260827846892,1.0020303722024706,-0.09197634405194964,6.186186338447175,1782925084.5769932,None,None,None, None, 1782925084.5484493,1.055647051491204,apf_colreg,static_obstacle,1.0,nan,nan,14.725163434945799,-7.316687579684115,2.6638955190575415,-1.4698700420869992,3.2844466488874975,mr_webots_cross_port_starboard_small_ships.wbt,ekf_off_cluster_off,0,0,5.0
1782925084.7024684,3.66778302192688,-200.0,-200.0,0.2,-0.009416189468040567,0.24557185032900564,1.0020593329353569,-0.0808486760318546,6.180679446861142,1782925084.6451068,None,None,None, None, 1782925084.6874459,0.9111373551152993,apf_colreg,static_obstacle,1.0,nan,nan,14.73709278794138,-7.292688547768749,2.708870593356391,-1.4372850796697465,3.28339555364796,mr_webots_cross_port_starboard_small_ships.wbt,ekf_off_cluster_off,0,0,5.0
1782925084.8012319,3.7665464878082275,-200.0,-200.0,0.2,-0.07680698100586665,0.2800953686445554,1.0020663638809977,-0.6685355132286581,6.090369459304979,1782925084.780193,None,None,None, None, 1782925084.7510896,0.9567438858676047,apf_colreg,static_obstacle,1.0,nan,nan,15.195007089344017,-6.283730391062769,2.765130684869483,-1.407743487313258,3.281854507301029,mr_webots_cross_port_starboard_small_ships.wbt,ekf_off_cluster_off,0,0,5.0
1782925084.9014876,3.866802215576172,-200.0,-200.0,0.2,6.14892940110613,0.08821486515975074,0.9949034994000373,-0.08658352355420919,6.084945499994842,1782925084.8428373,0.08499083892276985,0.9948459534450442,6.0953175228638745, 1782925084.825322, 1782925084.8889291,1.0159754415227478,apf_colreg,static_obstacle,1.0,nan,nan,15.528989146217125,-5.360078748007176,2.6311647754764427,-1.5664420394933702,3.2576233486283086,mr_webots_cross_port_starboard_small_ships.wbt,ekf_off_cluster_off,0,0,5.0
1782925085.0007145,3.966029167175293,-200.0,-200.0,0.2,6.138863232599607,0.10357738192536226,0.9927873634767681,-0.08118104616647998,6.07448700744995,1782925084.9716666,None,None,None, None, 1782925084.9511154,0.9221026141535018,apf_colreg,static_obstacle,1.0,nan,nan,15.581546796063598,-5.191264385419724,2.3182949794566574,-1.6511164386663253,3.256182985966561,mr_webots_cross_port_starboard_small_ships.wbt,ekf_off_cluster_off,0,0,5.0
1782925085.100725,4.066039562225342,-200.0,-142.41898460016503,0.2,6.0760720996201325,0.12491310316913207,0.9897652492645284,-0.6725602152385174,6.029737895495592,1782925085.038202,None,None,None, None, 1782925085.0789094,0.9700885316797507,apf_colreg,static_obstacle,1.0,nan,nan,15.87482596305508,-4.18591017101973,2.3696532296251873,-1.601032668345167,3.2335338740759276,mr_webots_cross_port_starboard_small_ships.wbt,ekf_off_cluster_off,0,0,5.0
1782925085.2004392,4.1657538414001465,-200.0,-83.93840758080731,0.2,6.0504311965297655,0.15321146729838236,0.9832832442409574,-0.08096551229166614,6.017533586284904,1782925085.1889367,None,None,None, None, 1782925085.161925,0.9038479219296158,apf_colreg,static_obstacle,1.0,nan,nan,15.971767495801572,-3.740592343745705,2.1928527314788884,-1.7456339979905127,3.215728476800836,mr_webots_cross_port_starboard_small_ships.wbt,ekf_off_cluster_off,0,0,5.0
1782925085.3010714,4.266386032104492,-200.0,-36.364313493007174,0.2,6.034441025897619,0.18868124119080915,0.9746305379564597,-0.0923202987242384,6.010384388232849,1782925085.2663758,None,None,None, None, 1782925085.298053,1.0912799942102085,apf_colreg,static_obstacle,1.0,nan,nan,16.021790074334703,-3.4355831706578384,2.211135056685894,-1.7502661341608867,3.212146032474358,mr_webots_cross_port_starboard_small_ships.wbt,ekf_off_cluster_off,0,0,5.0
1782925085.400777,4.366091728210449,-200.0,-0.739707918563782,0.2,6.025223378422624,0.22978441825053375,0.9641303049920289,-0.0721340674011912,6.00466619134721,1782925085.3456476,None,None,None, None, 1782925085.399727,0.9389324624894857,apf_colreg,static_obstacle,1.0,nan,nan,16.042829910176184,-3.2281001255212076,2.2507586815722966,-1.720597435021608,3.1915222670285486,mr_webots_cross_port_starboard_small_ships.wbt,ekf_off_cluster_off,0,0,5.0
1782925085.500967,4.4662816524505615,-200.0,15.948281212493356,0.2,6.019686114140545,0.2745861412134971,0.952399753892303,-0.06413860720668355,5.995442523119896,1782925085.489456,None,None,None, None, 1782925085.4699302,0.9518974629201574,apf_colreg,static_obstacle,1.0,nan,nan,16.049021223168545,-3.072742381586095,2.2507586815722966,-1.720597435021608,3.1915222670285486,mr_webots_cross_port_starboard_small_ships.wbt,ekf_off_cluster_off,0,0,5.0
1782925085.60011,4.565424680709839,-200.0,23.475667904958854,0.2,6.018336302538403,0.32167709224712837,0.9398820766197229,-0.04051459783740828,5.991709615976431,1782925085.5815933,None,None,None, None, 1782925085.5525467,0.9964883486068018,apf_colreg,static_obstacle,1.0,nan,nan,16.040826091584663,-2.9801584184973766,2.3174456479119163,-1.747409298520081,3.1874512338914025,mr_webots_cross_port_starboard_small_ships.wbt,ekf_off_cluster_off,0,0,5.0
1782925085.7010293,4.666343927383423,-200.0,32.957121827734326,0.2,6.015553708742733,0.3700763799389728,0.9270395460352399,-0.06668352712956936,5.986533797622758,1782925085.659211,None,None,None, None, 1782925085.6890082,1.0726538254829157,apf_colreg,static_obstacle,1.0,nan,nan,16.036254441350103,-2.8626704799396556,2.3836168867665526,-1.7273890682765383,3.167471774029934,mr_webots_cross_port_starboard_small_ships.wbt,ekf_off_cluster_off,0,0,5.0
1782925085.800689,4.766003608703613,-200.0,43.73154257767481,0.2,6.011765111828793,0.4193972709770586,0.9137907377477008,-0.0731989706690558,5.980907815582444,1782925085.7360697,None,None,None, None, 1782925085.7521062,1.0226727967151257,apf_colreg,static_obstacle,1.0,nan,nan,16.033562189061715,-2.7267171007764452,2.445469278626889,-1.7100402672574904,3.142940698725574,mr_webots_cross_port_starboard_small_ships.wbt,ekf_off_cluster_off,0,0,5.0
1782925085.9004283,4.865742921829224,-200.0,38.33061306347716,0.2,5.995070025226642,0.1764915128477873,0.9768565633179604,-0.0972718763684491,5.965359381439238,1782925085.8959148,0.17262236032476985,0.977870209578867,5.9784118040013645, 1782925085.828235, 1782925085.8873985,0.9424685507218191,apf_colreg,static_obstacle,1.0,nan,nan,16.147026361931317,-2.8148134588073046,2.494447281395723,-1.7084573258003202,3.1374814462975578,mr_webots_cross_port_starboard_small_ships.wbt,ekf_off_cluster_off,0,0,5.0
1782925086.0004296,4.965744256973267,-200.0,45.10715055855309,0.2,5.992823562615678,0.20726378491969433,0.9678483539561133,-0.06592360239536005,5.961363905385495,1782925085.9565225,None,None,None, None, 1782925085.9565225,0.9931273672887354,apf_colreg,static_obstacle,1.0,nan,nan,16.143035907667205,-2.7276792145117223,2.2351061642523993,-1.6289765233724771,3.1125232897936295,mr_webots_cross_port_starboard_small_ships.wbt,ekf_off_cluster_off,0,0,5.0
1782925086.1004233,5.065737962722778,-200.0,53.5350543266769,0.2,5.990210380602774,0.24843561718189844,0.9557186516283016,-0.06462924348591127,5.9533905383648875,1782925086.0798934,None,None,None, None, 1782925086.0949235,0.9182059012442685,apf_colreg,static_obstacle,1.0,nan,nan,16.13622397595674,-2.6171453440016816,2.2704273272606947,-1.6534246770535472,3.106365064814985,mr_webots_cross_port_starboard_small_ships.wbt,ekf_off_cluster_off,0,0,5.0
1782925086.2010825,5.1663970947265625,-200.0,63.41620664138021,0.2,5.986918460648278,0.2955941370188133,0.9416988050944308,-0.06666148971219323,5.947883258466335,1782925086.162509,None,None,None, None, 1782925086.1650214,1.0184468195095415,apf_colreg,static_obstacle,1.0,nan,nan,16.12846378270857,-2.4847856878293006,2.3341555999977808,-1.580844763146087,3.083768037222368,mr_webots_cross_port_starboard_small_ships.wbt,ekf_off_cluster_off,0,0,5.0
1782925086.3009744,5.266288995742798,-200.0,73.03343631103462,0.2,5.9840096025998415,0.34584372715809897,0.9265675027725395,-0.05803772912670995,5.939993854291537,1782925086.2984447,None,None,None, None, 1782925086.2367582,0.9217929243757786,apf_colreg,static_obstacle,1.0,nan,nan,16.117943560363177,-2.352363707437773,2.3903494522530053,-1.5603233361355517,3.0615946068275486,mr_webots_cross_port_starboard_small_ships.wbt,ekf_off_cluster_off,0,0,5.0
