epoch [s],elapsed [s],x [m],y [m],z [m],roll [deg],pitch [deg],yaw [deg],broadcast
1782410444.6120763,0.2163374423980713,-5.253203953888495e-05,1.0000000004990461,0.02769410730212013,0.0,0.0,359.9999999116432,False
1782410444.726755,0.33101606369018555,-5.0446710798853496e-05,1.0000000005582848,0.027935511536048556,0.0,0.0,359.99999991164816,False
1782410444.8009553,0.4052164554595947,-4.8676680208003746e-05,1.0000000006241474,0.028046235355086505,0.0,0.0,359.9999999116549,False
1782410444.8823087,0.486569881439209,-4.884053750155266e-05,1.0000000006489886,0.027890922298181228,0.0,0.0,359.9999999116627,False
1782410444.9423575,0.5466187000274658,-5.0461086538439484e-05,1.0000000006038718,0.027712505798042606,0.0,0.0,359.99999991163287,False
1782410445.0032237,0.6074848175048828,-5.192985774832472e-05,1.0000000005512275,0.02759083837687768,0.0,0.0,359.9999999116718,False
1782410445.0753014,0.6795625686645508,-5.2765162318786776e-05,1.0000000005095524,0.027552305229834536,0.0,0.0,359.99999991167437,False
1782410445.138005,0.7422661781311035,-5.260008228665976e-05,1.0000000004964602,0.02761200908666653,0.0,0.0,359.999999911678,False
1782410445.2079465,0.8122076988220215,-5.108812955314052e-05,1.000000000528801,0.027790986955412742,0.0,0.0,359.9999999116843,False
1782410445.2711115,0.8753726482391357,-4.93548769216967e-05,1.0000000005863852,0.02795840171457024,0.0,0.0,359.99999991168886,False
1782410445.337,0.9412610530853271,-4.8352910964893235e-05,1.000000000633489,0.028040044258377254,0.0,0.0,359.99999991169153,False
1782410445.3987725,1.0030336380004883,-4.8380412527795494e-05,1.0000000006571272,0.02801652433863711,0.0,0.0,359.99999991169534,False
1782410445.4629004,1.0671615600585938,-4.96184868339628e-05,1.0000000006368155,0.02788216556038734,0.0,0.0,359.9999999117008,False
1782410445.5262527,1.1305139064788818,-5.114705104993464e-05,1.000000000591278,0.02772731645473612,0.0,0.0,359.99999991170523,False
1782410445.5899088,1.1941699981689453,-5.2387312437870204e-05,1.0000000005397347,0.027601720129756306,0.0,0.0,359.99999991170824,False
1782410445.6529121,1.2571732997894287,-5.276689609983544e-05,1.000000000501222,0.02755627041749934,0.0,0.0,359.9999999117115,False
1782410445.7285113,1.3327724933624268,-5.147367999991361e-05,1.0000000005117209,0.027671552692664296,0.0,0.0,359.99999991171796,False
1782410445.7960494,1.4003105163574219,-4.995918882880611e-05,1.0000000005540102,0.02782142488682282,0.0,0.0,359.99999991172257,False
1782410445.8618674,1.4661285877227783,-4.8689864199698884e-05,1.000000000605886,0.027962354290149673,0.0,0.0,359.99999991172564,False
1782410445.9219117,1.5261728763580322,-4.8241169479163824e-05,1.0000000006489094,0.028042029273991197,0.0,0.0,359.9999999117287,False
1782410445.9841404,1.5884015560150146,-4.9083362920053585e-05,1.0000000006524625,0.02799759659967884,0.0,0.0,359.9999999117336,False
1782410446.0504823,1.6547434329986572,-5.051322466727202e-05,1.0000000006211036,0.02787355369806873,0.0,0.0,359.9999999116678,False
1782410446.110936,1.7151970863342285,-5.1758039300268065e-05,1.0000000005785912,0.02774199499521944,0.0,0.0,359.9999999117417,False
1782410446.1742404,1.7785015106201172,-5.272122345293229e-05,1.0000000005235892,0.027599752881110124,0.0,0.0,359.9999999117447,False
1782410446.2391503,1.8434114456176758,-5.2292056562086876e-05,1.000000000497603,0.0275644089928656,0.0,0.0,359.9999999117492,False
1782410446.3019142,1.9061753749847412,-5.102471992802816e-05,1.0000000005153444,0.027643826319297078,0.0,0.0,359.99999991175423,False
1782410446.365725,1.9699862003326416,-4.973258632421631e-05,1.000000000551897,0.027762993302001823,0.0,0.0,359.99999991175787,False
1782410446.4309096,2.035170793533325,-4.8575054611457726e-05,1.0000000006033924,0.02791263445937163,0.0,0.0,359.99999991176077,False
1782410446.503093,2.107354164123535,-4.8452256407387316e-05,1.0000000006527523,0.02803696292942642,0.0,0.0,359.999999911765,False
1782410446.5709858,2.1752469539642334,-4.9893307986867446e-05,1.0000000006432541,0.02799035354186077,0.0,0.0,359.99999991177083,False
1782410446.6596532,2.2639143466949463,-5.176384927381956e-05,1.000000000588414,0.027821992918228636,0.0,0.0,359.99999991177623,False
1782410446.7235425,2.327803611755371,-5.2699670464278814e-05,1.0000000005317042,0.02765708837344667,0.0,0.0,359.9999999117793,False
1782410446.9832916,2.587552785873413,-4.9520463790525604e-05,1.0000000005498118,0.02770811845290502,0.0,0.0,359.99999991179266,False
1782410447.074048,2.678309202194214,0.0002598287817445313,1.0000000006547554,0.028035067874975363,0.0,0.0,359.99999991179516,False
1782410447.163122,2.767383098602295,0.003874746225449599,1.00000000062438,0.027982956289776106,0.0,0.0,359.9999999117845,False
1782410447.2395391,2.8438003063201904,0.00918096754795336,1.0000000005720762,0.02786151279820257,0.0,0.0,359.9999999119127,False
1782410447.3215685,2.9258296489715576,0.022068546998958025,1.000000000485107,0.027653064740670245,0.0,0.0,359.9999999120929,False
1782410447.3952086,2.999469757080078,0.03380969483702284,1.0000000004610725,0.027608613134042146,0.0,0.0,359.99999991122075,False
1782410447.485268,3.089529275894165,0.0465887399731954,1.000000000478273,0.027673687359068447,0.0,0.0,359.99999990908,False
1782410447.5931609,3.1974220275878906,0.06303957413962794,1.000000000515283,0.0278114557789747,0.0,0.0,359.999999905933,False
1782410447.6999383,3.304199457168579,0.08628281096454062,1.000000000496662,0.027895177030818015,0.0,0.0,359.99999990410254,False
1782410447.7745295,3.3787906169891357,0.1004562059343908,1.0000000004351126,0.027855456601032825,0.0,0.0,359.99999990491864,False
1782410447.854239,3.4585001468658447,0.11310780749784821,1.0000000003723082,0.027793840141061822,0.0,0.0,359.99999990603334,False
1782410447.9394982,3.543759346008301,0.1289321554524879,1.0000000003178808,0.027732206944806093,0.0,0.0,359.99999990651554,False
1782410448.0172195,3.621480703353882,0.14474389220543174,1.0000000003095708,0.027721505798117812,0.0,0.0,359.99999990515346,False
1782410448.0878665,3.6921277046203613,0.15739481260366361,1.0000000003261313,0.02774760010036001,0.0,0.0,359.99999990314745,False
1782410448.1575565,3.761817693710327,0.16847853606879204,1.000000000340261,0.027781586322226916,0.0,0.0,359.9999999014058,False
1782410448.2292104,3.8334715366363525,0.18275830098470697,1.0000000003364335,0.02781811289394688,0.0,0.0,359.9999999000111,False
1782410448.2958086,3.9000697135925293,0.19865670018010145,1.0000000002907168,0.027828778220302122,0.0,0.0,359.9999999000772,False
1782410448.3647342,3.9689953327178955,0.21138007161127784,1.0000000002337277,0.02781374327725542,0.0,0.0,359.99999990098024,False
1782410448.4344983,4.038759469985962,0.222502319999059,1.0000000001852607,0.027791661880800744,0.0,0.0,359.9999999017503,False
1782410448.5333874,4.137648582458496,0.2383635370491874,1.000000000142006,0.02776415351066715,0.0,0.0,359.99999990181794,False
1782410448.6150267,4.219287872314453,0.25420199615298494,1.0000000001386196,0.027757511467820323,0.0,0.0,359.9999999002952,False
1782410448.686066,4.290327072143555,0.27004589900354453,1.0000000001539755,0.02777256730728411,0.0,0.0,359.9999998980341,False
1782410448.7458937,4.350154876708984,0.28115227937829523,1.000000000156826,0.027788497401461255,0.0,0.0,359.9999998967546,False
1782410448.8229854,4.427246570587158,0.29545272903459535,1.0000000001345402,0.02780408337550124,0.0,0.0,359.9999998961118,False
