EpochTime(s),TimeFromStart(s),right_prop_rate(rad/s),left_prop_rate(rad/s),LastDT(s),Yaw(rad),North(m),East(m),IMUSensedYawRate(rad/s),IMUIntegratedYaw(rad),IMUSensedTimeStamp(s),ARUCOSensedNorth(m),ARUCOSensedEast(m),ARUCOSensedYaw(rad),ArucoSensedTimeStamp(s),DepthTimeStamp(s),Depth(m),NavigationMode,APFEncounter,APFSide,APFDCPA(m),APFTCPA(s),APFForceX,APFForceY,NearestObstacleNorth(m),NearestObstacleEast(m),NearestObstacleDistance(m),WebotsEnvironment,SwitchCombination,EKFPredictionEnabled,ClusterSizeAPFEnabled,ClassicAPFInfluenceDistance(m)
1782927455.833747,2.261791467666626,-200.0,200.0,0.2,6.283185305569368,-7.870272838679418e-05,1.0000000009621643,3.0872571534214756e-11,6.283185305574704,1782927455.7872205,-7.870272838679418e-05,1.0000000009621643,6.283185305568529, 1782927455.189787, 1782927455.7932227,1.0667462208349094,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_head_on_large_ship.wbt,ekf_off_cluster_on,0,1,5.0
1782927455.8556519,2.283696413040161,-200.0,200.0,0.2,6.283185305569584,0.030138960317516325,1.0000000009135073,3.0872571534214756e-11,6.283185305580878,1782927455.7872205,None,None,None, None, 1782927455.7932227,1.0667462208349094,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_head_on_large_ship.wbt,ekf_off_cluster_on,0,1,5.0
1782927455.9569495,2.3849940299987793,-200.0,200.0,0.2,6.283185305565084,0.08489302106994814,1.0000000008253531,-1.2451714709444768e-11,6.283185305579901,1782927455.9594586,None,None,None, None, 1782927455.9464393,1.07295769201753,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_head_on_large_ship.wbt,ekf_off_cluster_on,0,1,5.0
1782927456.0580738,2.4861183166503906,-200.0,200.0,0.2,6.2831853055798845,0.151211431256565,1.0000000007182819,1.3796349523968276e-10,6.283185305602684,1782927456.0307887,None,None,None, None, 1782927456.024751,1.037898831919328,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_head_on_large_ship.wbt,ekf_off_cluster_on,0,1,5.0
1782927456.1563904,2.584434986114502,-200.0,200.0,0.2,6.283185305511854,0.2203827511354982,1.0000000006076284,-5.318602160306546e-10,6.283185305557182,1782927456.1163416,None,None,None, None, 1782927456.1007955,0.9414895740000645,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_head_on_large_ship.wbt,ekf_off_cluster_on,0,1,5.0
1782927456.2564852,2.6845297813415527,-200.0,200.0,0.2,6.283185305439909,0.03485002081367161,1.0000000003846725,-9.645856293168477e-10,6.283185305428329,1782927456.2499247,0.026916893228688284,1.0000000003813503,6.283185305458053, 1782927456.20186, 1782927456.234417,0.9572026063500841,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_head_on_large_ship.wbt,ekf_off_cluster_on,0,1,5.0
1782927456.3581302,2.786174774169922,-200.0,200.0,0.2,6.283185305395846,0.08198802866715374,1.0000000003026677,-1.0247002921561904e-09,6.283185305363925,1782927456.3127768,None,None,None, None, 1782927456.298676,0.9227128318819222,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_head_on_large_ship.wbt,ekf_off_cluster_on,0,1,5.0
1782927456.456749,2.884793519973755,-200.0,200.0,0.2,6.283185305492837,0.1455186793907366,1.0000000001893454,3.357534143833857e-10,6.2831853054060565,1782927456.43826,None,None,None, None, 1782927456.43826,1.0040827160292751,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_head_on_large_ship.wbt,ekf_off_cluster_on,0,1,5.0
1782927456.5569491,2.9849936962127686,-200.0,200.0,0.2,6.28318530557857,0.21415449416871174,1.000000000073574,6.037869239601525e-10,6.283185305443831,1782927456.5008216,None,None,None, None, 1782927456.5008216,1.0346412804104197,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_head_on_large_ship.wbt,ekf_off_cluster_on,0,1,5.0
1782927456.6562798,3.084324359893799,-200.0,200.0,0.2,6.283185305984713,0.2836973582679587,0.9999999999622348,3.889451339835822e-09,6.283185305912301,1782927456.621268,None,None,None, None, 1782927456.6242678,0.9843802120078479,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_head_on_large_ship.wbt,ekf_off_cluster_on,0,1,5.0
