EpochTime(s),TimeFromStart(s),right_prop_rate(rad/s),left_prop_rate(rad/s),LastDT(s),Yaw(rad),North(m),East(m),IMUSensedYawRate(rad/s),IMUIntegratedYaw(rad),IMUSensedTimeStamp(s),ARUCOSensedNorth(m),ARUCOSensedEast(m),ARUCOSensedYaw(rad),ArucoSensedTimeStamp(s),DepthTimeStamp(s),Depth(m),NavigationMode,APFEncounter,APFSide,APFDCPA(m),APFTCPA(s),APFForceX,APFForceY,NearestObstacleNorth(m),NearestObstacleEast(m),NearestObstacleDistance(m),WebotsEnvironment,SwitchCombination,EKFPredictionEnabled,ClusterSizeAPFEnabled,ClassicAPFInfluenceDistance(m)
1782411702.206047,3.002859354019165,-200.0,200.0,0.2,6.2831853056144675,-4.798877275027094e-05,1.000000000607663,9.554242897338845e-13,6.283185305614633,1782411702.2300742,-4.798877275027094e-05,1.000000000607663,6.283185305614442, 1782411702.173021, 1782411702.229066,1.0281067142114477,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_head_on_small_ship.wbt,ekf_off_cluster_on,0,1,5.0
1782411702.2430747,3.039886951446533,-200.0,200.0,0.2,6.283185305614476,0.030169674273152848,1.0000000005603689,9.792443447359963e-13,6.283185305614755,1782411702.2300742,None,None,None, None, 1782411702.229066,1.0281067142114477,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_head_on_small_ship.wbt,ekf_off_cluster_on,0,1,5.0
1782411702.345238,3.142050266265869,-200.0,200.0,0.2,6.283185305612586,0.08492373502558466,1.0000000004746727,-1.6127438340310933e-11,6.283185305613334,1782411702.3182068,None,None,None, None, 1782411702.3106964,0.9149508175229102,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_head_on_small_ship.wbt,ekf_off_cluster_on,0,1,5.0
1782411702.4432774,3.2400896549224854,-200.0,200.0,0.2,6.283185305625351,0.1512421452122015,1.0000000003707519,1.0506597755525586e-10,6.283185305625792,1782411702.4367752,None,None,None, None, 1782411702.4367752,0.9669016842614465,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_head_on_small_ship.wbt,ekf_off_cluster_on,0,1,5.0
1782411702.5508804,3.3476927280426025,-200.0,200.0,0.2,6.283185305632768,0.2204134650911347,1.0000000002632434,1.0506597755525586e-10,6.283185305646805,1782411702.4367752,None,None,None, None, 1782411702.5538855,1.069441668470253,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_head_on_small_ship.wbt,ekf_off_cluster_on,0,1,5.0
1782411702.6515224,3.4483346939086914,-200.0,200.0,0.2,6.283185305642541,0.2900326800083468,1.0000000001555551,1.497689621470622e-10,6.283185305666142,1782411702.565886,None,None,None, None, 1782411702.652527,1.0659134677252164,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_head_on_small_ship.wbt,ekf_off_cluster_on,0,1,5.0
1782411702.744063,3.540875196456909,-200.0,200.0,0.2,6.283185305626847,0.3597130140458582,1.0000000000484532,-4.247888072898648e-11,6.28318530566159,1782411702.7697878,None,None,None, None, 1782411702.7390633,0.9890303688125248,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_head_on_small_ship.wbt,ekf_off_cluster_on,0,1,5.0
1782411702.84989,3.646702289581299,-200.0,200.0,0.2,6.283185305585272,0.4294014947451149,0.9999999999402451,-3.315410853547176e-10,6.283185305629514,1782411702.8518908,None,None,None, None, 1782411702.8338654,1.0520272398909973,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_head_on_small_ship.wbt,ekf_off_cluster_on,0,1,5.0
1782411702.9442172,3.7410295009613037,-200.0,200.0,0.2,6.283185305446741,0.4990910578145452,0.9999999998291381,-1.3338573501697174e-09,6.283185305520001,1782411702.9462235,None,None,None, None, 1782411702.9442172,0.9847040682178956,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_head_on_small_ship.wbt,ekf_off_cluster_on,0,1,5.0
1782411703.0501943,3.8470065593719482,-200.0,200.0,0.2,6.28318530557179,0.5687807646261485,0.9999999997083766,4.97001471711342e-10,6.283185305604783,1782411703.0224783,None,None,None, None, 1782411703.0234792,1.0665341066226772,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_head_on_small_ship.wbt,ekf_off_cluster_on,0,1,5.0
1782411703.1439803,3.9407925605773926,-200.0,200.0,0.2,6.283185305609738,0.638470490526069,0.9999999995963297,2.1404167378193122e-10,6.283185305621246,1782411703.0993931,None,None,None, None, 1782411703.1003933,0.9122644529376676,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,mr_webots_head_on_small_ship.wbt,ekf_off_cluster_on,0,1,5.0
